rank,activation,hidden_dim,learning_rate,optimizer,epochs,seed,final_loss,final_train_accuracy,final_test_accuracy
1,relu,16,0.05,adam,1000,42,0.04537512518631638,0.9944444444444445,0.9916666666666667
2,relu,16,0.01,adam,1000,42,0.052598997874149477,0.9944444444444445,0.9916666666666667
3,relu,64,0.1,momentum,1000,42,0.051410297867358686,0.9944444444444445,0.9916666666666667
4,relu,64,0.1,adam,1000,42,0.04468257272221524,0.9944444444444445,0.9916666666666667
5,relu,64,0.05,adam,1000,42,0.044713467086098704,0.9944444444444445,0.9916666666666667
6,relu,64,0.01,adam,1000,42,0.047139633563102835,0.9944444444444445,0.9916666666666667
7,relu,64,0.005,adam,1000,42,0.05215763036120052,0.9944444444444445,0.9916666666666667
8,relu,128,0.1,momentum,1000,42,0.05129295686586579,0.9944444444444445,0.9916666666666667
9,relu,128,0.05,adam,1000,42,0.04468643347250523,0.9944444444444445,0.9916666666666667
10,tanh,16,0.1,adam,1000,42,0.04199886647343867,0.9944444444444445,0.9916666666666667
11,tanh,16,0.05,adam,1000,42,0.0426993947040715,0.9944444444444445,0.9916666666666667
12,tanh,16,0.01,adam,1000,42,0.04882049081149246,0.9944444444444445,0.9916666666666667
13,tanh,32,0.1,adam,1000,42,0.04096673369308037,0.9944444444444445,0.9916666666666667
14,tanh,32,0.05,adam,1000,42,0.04161129403381374,0.9944444444444445,0.9916666666666667
15,tanh,32,0.01,adam,1000,42,0.046824140605848066,0.9944444444444445,0.9916666666666667
16,tanh,64,0.1,adam,1000,42,0.03969946691353445,0.9944444444444445,0.9916666666666667
17,tanh,64,0.05,adam,1000,42,0.04165117820657715,0.9944444444444445,0.9916666666666667
18,tanh,64,0.01,adam,1000,42,0.04641752666486462,0.9944444444444445,0.9916666666666667
19,tanh,128,0.1,momentum,1000,42,0.05371890012550569,0.9944444444444445,0.9916666666666667
20,tanh,128,0.1,adam,1000,42,0.04115832983537149,0.9944444444444445,0.9916666666666667
21,tanh,128,0.05,adam,1000,42,0.04219602524430387,0.9944444444444445,0.9916666666666667
22,tanh,128,0.01,adam,1000,42,0.04860396688530476,0.9944444444444445,0.9916666666666667
23,tanh,128,0.005,adam,1000,42,0.05385613294360467,0.9944444444444445,0.9916666666666667
24,sigmoid,16,0.1,adam,1000,42,0.09277586320218004,0.9944444444444445,0.9916666666666667
25,sigmoid,16,0.05,adam,1000,42,0.09077968560767669,0.9944444444444445,0.9916666666666667
26,sigmoid,32,0.1,adam,1000,42,0.0873403957810886,0.9944444444444445,0.9916666666666667
27,sigmoid,32,0.05,adam,1000,42,0.08786005100543287,0.9944444444444445,0.9916666666666667
28,relu,16,0.1,momentum,1000,42,0.05345704557113479,0.9944444444444445,0.9833333333333333
29,relu,16,0.1,adam,1000,42,0.0450290812752341,0.9944444444444445,0.9833333333333333
30,relu,16,0.05,momentum,1000,42,0.0723567715550299,0.9916666666666667,0.9833333333333333
31,relu,16,0.005,adam,1000,42,0.07102486997858362,0.9916666666666667,0.9833333333333333
32,relu,32,0.1,adam,1000,42,0.04417264202687937,0.9944444444444445,0.9833333333333333
33,relu,32,0.05,adam,1000,42,0.04494441759126652,0.9944444444444445,0.9833333333333333
34,relu,32,0.01,adam,1000,42,0.04982875973111675,0.9944444444444445,0.9833333333333333
35,relu,32,0.005,adam,1000,42,0.06023400031371576,0.9944444444444445,0.9833333333333333
36,relu,64,0.05,momentum,1000,42,0.06167492468183698,0.9944444444444445,0.9833333333333333
37,relu,128,0.1,adam,1000,42,0.044376146238665426,0.9944444444444445,0.9833333333333333
38,relu,128,0.05,momentum,1000,42,0.058662280061016696,0.9944444444444445,0.9833333333333333
39,relu,128,0.01,adam,1000,42,0.048021244285540374,0.9944444444444445,0.9833333333333333
40,relu,128,0.005,adam,1000,42,0.05301736040915683,0.9944444444444445,0.9833333333333333
41,tanh,16,0.1,momentum,1000,42,0.051719197083061615,0.9944444444444445,0.9833333333333333
42,tanh,16,0.05,momentum,1000,42,0.07049421352804312,0.9888888888888889,0.9833333333333333
43,tanh,16,0.005,adam,1000,42,0.0662299208882059,0.9944444444444445,0.9833333333333333
44,tanh,32,0.1,momentum,1000,42,0.05266014468822206,0.9944444444444445,0.9833333333333333
45,tanh,32,0.005,adam,1000,42,0.05826433085065809,0.9944444444444445,0.9833333333333333
46,tanh,64,0.1,momentum,1000,42,0.05223914922795913,0.9944444444444445,0.9833333333333333
47,tanh,64,0.005,adam,1000,42,0.051276908641183574,0.9944444444444445,0.9833333333333333
48,tanh,128,0.05,momentum,1000,42,0.06388096015391873,0.9944444444444445,0.9833333333333333
49,sigmoid,16,0.01,adam,1000,42,0.11102201219591207,0.9861111111111112,0.9833333333333333
50,sigmoid,32,0.01,adam,1000,42,0.09791982596300391,0.9944444444444445,0.9833333333333333
51,sigmoid,64,0.1,adam,1000,42,0.08896766976782108,0.9944444444444445,0.9833333333333333
52,sigmoid,64,0.05,adam,1000,42,0.08983994336062745,0.9944444444444445,0.9833333333333333
53,sigmoid,64,0.01,adam,1000,42,0.10018224583876892,0.9944444444444445,0.9833333333333333
54,sigmoid,128,0.1,momentum,1000,42,0.11747727057074961,0.9833333333333333,0.9833333333333333
55,sigmoid,128,0.1,adam,1000,42,0.08785363931425785,0.9944444444444445,0.9833333333333333
56,sigmoid,128,0.05,adam,1000,42,0.09234310067236959,0.9944444444444445,0.9833333333333333
57,sigmoid,128,0.01,adam,1000,42,0.10186961257624338,0.9944444444444445,0.9833333333333333
58,sigmoid,128,0.005,adam,1000,42,0.11325739434803726,0.9861111111111112,0.9833333333333333
59,relu,32,0.1,momentum,1000,42,0.05346093499187941,0.9944444444444445,0.975
60,relu,32,0.05,momentum,1000,42,0.06723953791509979,0.9944444444444445,0.975
61,relu,128,0.1,gd,1000,42,0.11084908996193878,0.9833333333333333,0.975
62,relu,128,0.05,gd,1000,42,0.18740170640348933,0.9777777777777777,0.975
63,relu,128,0.01,momentum,1000,42,0.11138150881011186,0.9833333333333333,0.975
64,relu,128,0.005,momentum,1000,42,0.18920556983163475,0.9777777777777777,0.975
65,tanh,32,0.05,momentum,1000,42,0.0681423687651303,0.9944444444444445,0.975
66,tanh,64,0.05,momentum,1000,42,0.06515599142125289,0.9944444444444445,0.975
67,sigmoid,16,0.1,momentum,1000,42,0.17391925805395017,0.9555555555555556,0.975
68,sigmoid,32,0.005,adam,1000,42,0.12296109088196316,0.9833333333333333,0.975
69,sigmoid,64,0.005,adam,1000,42,0.12234698140453949,0.9833333333333333,0.975
70,sigmoid,128,0.05,momentum,1000,42,0.15711359287377213,0.9694444444444444,0.975
71,relu,16,0.01,momentum,1000,42,0.2178467981686822,0.9444444444444444,0.9666666666666667
72,relu,32,0.1,gd,1000,42,0.1592469027872411,0.9638888888888889,0.9666666666666667
73,relu,32,0.01,momentum,1000,42,0.15993338246411973,0.9611111111111111,0.9666666666666667
74,relu,64,0.1,gd,1000,42,0.13070446797392488,0.9777777777777777,0.9666666666666667
75,relu,64,0.01,momentum,1000,42,0.13169005797871594,0.9777777777777777,0.9666666666666667
76,tanh,32,0.1,gd,1000,42,0.17671854038970858,0.9611111111111111,0.9666666666666667
77,tanh,32,0.01,momentum,1000,42,0.1773972947472941,0.9611111111111111,0.9666666666666667
78,tanh,64,0.1,gd,1000,42,0.15403700369764162,0.975,0.9666666666666667
79,tanh,64,0.01,momentum,1000,42,0.1544192681774944,0.975,0.9666666666666667
80,tanh,128,0.1,gd,1000,42,0.12787178873011296,0.975,0.9666666666666667
81,tanh,128,0.05,gd,1000,42,0.18711863420665026,0.9611111111111111,0.9666666666666667
82,tanh,128,0.01,momentum,1000,42,0.12769138517028927,0.975,0.9666666666666667
83,tanh,128,0.005,momentum,1000,42,0.18708513354918838,0.9611111111111111,0.9666666666666667
84,sigmoid,32,0.1,momentum,1000,42,0.13782330078529617,0.975,0.9666666666666667
85,sigmoid,64,0.1,momentum,1000,42,0.12307280592475926,0.9833333333333333,0.9666666666666667
86,relu,64,0.05,gd,1000,42,0.22271722982714584,0.9638888888888889,0.9583333333333334
87,relu,64,0.005,momentum,1000,42,0.22479415369163314,0.9694444444444444,0.9583333333333334
88,sigmoid,16,0.05,momentum,1000,42,0.27399881727384917,0.9277777777777778,0.9583333333333334
89,relu,16,0.1,gd,1000,42,0.2074079603718924,0.9416666666666667,0.95
90,sigmoid,16,0.005,adam,1000,42,0.18104120540656776,0.9527777777777777,0.95
91,sigmoid,32,0.05,momentum,1000,42,0.20354617711357678,0.9555555555555556,0.95
92,sigmoid,64,0.05,momentum,1000,42,0.19632887768854204,0.9583333333333334,0.95
93,relu,32,0.05,gd,1000,42,0.2751679426414813,0.9416666666666667,0.9416666666666667
94,relu,32,0.005,momentum,1000,42,0.2793119510127597,0.9416666666666667,0.9416666666666667
95,tanh,16,0.1,gd,1000,42,0.22835407751495568,0.9388888888888889,0.9416666666666667
96,tanh,16,0.01,momentum,1000,42,0.2333266920040486,0.9361111111111111,0.9416666666666667
97,tanh,64,0.05,gd,1000,42,0.2552192595223463,0.9361111111111111,0.9416666666666667
98,tanh,64,0.005,momentum,1000,42,0.2564478648245466,0.9361111111111111,0.9416666666666667
99,tanh,32,0.05,gd,1000,42,0.3076474400742192,0.9111111111111111,0.9333333333333333
100,tanh,32,0.005,momentum,1000,42,0.3100608780424318,0.9111111111111111,0.9333333333333333
101,relu,16,0.05,gd,1000,42,0.40260834579644095,0.8638888888888889,0.875
102,relu,16,0.005,momentum,1000,42,0.4144971766979124,0.8555555555555555,0.875
103,tanh,128,0.01,gd,1000,42,0.44864162138446695,0.8194444444444444,0.8583333333333333
104,tanh,16,0.05,gd,1000,42,0.42012154966193144,0.8472222222222222,0.8416666666666667
105,tanh,16,0.005,momentum,1000,42,0.4265791431290916,0.8444444444444444,0.8333333333333334
106,sigmoid,128,0.1,gd,1000,42,0.48237090852024356,0.7833333333333333,0.7833333333333333
107,sigmoid,128,0.01,momentum,1000,42,0.48547292640567463,0.7833333333333333,0.7833333333333333
108,tanh,128,0.005,gd,1000,42,0.5654548556857358,0.7416666666666667,0.7333333333333333
109,tanh,64,0.01,gd,1000,42,0.5771779547972467,0.7305555555555555,0.725
110,sigmoid,64,0.1,gd,1000,42,0.5954045884069199,0.6972222222222222,0.65
111,sigmoid,64,0.01,momentum,1000,42,0.5981458382383131,0.6888888888888889,0.65
112,relu,128,0.01,gd,1000,42,0.5721663760847192,0.6666666666666666,0.6166666666666667
113,sigmoid,128,0.05,gd,1000,42,0.6197183910731718,0.65,0.6083333333333333
114,sigmoid,128,0.005,momentum,1000,42,0.6210804761744836,0.65,0.6083333333333333
115,tanh,32,0.01,gd,1000,42,0.6476343827365381,0.6222222222222222,0.5916666666666667
116,relu,64,0.01,gd,1000,42,0.5810983592019734,0.675,0.5833333333333334
117,tanh,64,0.005,gd,1000,42,0.6577721453134491,0.6111111111111112,0.5666666666666667
118,sigmoid,32,0.1,gd,1000,42,0.6702920848497942,0.5972222222222222,0.5666666666666667
119,sigmoid,64,0.05,gd,1000,42,0.6835931770985876,0.5916666666666667,0.5666666666666667
120,sigmoid,64,0.005,momentum,1000,42,0.6843873375560718,0.5916666666666667,0.5666666666666667
121,relu,16,0.01,gd,1000,42,0.6965810887113394,0.5694444444444444,0.5583333333333333
122,relu,32,0.01,gd,1000,42,0.6270014963638573,0.5833333333333334,0.5583333333333333
123,sigmoid,32,0.01,momentum,1000,42,0.6726287603946112,0.5944444444444444,0.5583333333333333
124,relu,128,0.005,gd,1000,42,0.6474218106404899,0.5611111111111111,0.55
125,tanh,16,0.01,gd,1000,42,0.7078422540144663,0.5694444444444444,0.55
126,relu,64,0.005,gd,1000,42,0.6492113396570592,0.5583333333333333,0.5416666666666666
127,tanh,32,0.005,gd,1000,42,0.7109241668819746,0.5583333333333333,0.5416666666666666
128,sigmoid,16,0.1,gd,1000,42,0.6931233614305109,0.575,0.5416666666666666
129,sigmoid,16,0.01,momentum,1000,42,0.6950855022771171,0.575,0.5416666666666666
130,tanh,16,0.005,gd,1000,42,0.7589619031016668,0.5472222222222223,0.5333333333333333
131,sigmoid,32,0.05,gd,1000,42,0.7238352558996654,0.5666666666666667,0.5333333333333333
132,sigmoid,32,0.005,momentum,1000,42,0.7242628773586125,0.5638888888888889,0.5333333333333333
133,relu,16,0.005,gd,1000,42,0.7492031355585339,0.5555555555555556,0.525
134,sigmoid,16,0.05,gd,1000,42,0.7399417012085109,0.5527777777777778,0.525
135,sigmoid,16,0.005,momentum,1000,42,0.7404604861944054,0.5472222222222223,0.525
136,sigmoid,64,0.01,gd,1000,42,0.7427358145135453,0.5472222222222223,0.525
137,sigmoid,128,0.01,gd,1000,42,0.7350500652502202,0.55,0.525
138,sigmoid,128,0.005,gd,1000,42,0.7523020919887959,0.5472222222222223,0.525
139,sigmoid,32,0.005,gd,1000,42,0.8332670631832251,0.5194444444444445,0.5166666666666667
140,sigmoid,64,0.005,gd,1000,42,0.7685311425074767,0.5388888888888889,0.5166666666666667
141,sigmoid,16,0.01,gd,1000,42,0.8407223915480746,0.5138888888888888,0.5083333333333333
142,sigmoid,32,0.01,gd,1000,42,0.7770612333790191,0.525,0.5083333333333333
143,relu,32,0.005,gd,1000,42,0.6871925222167543,0.5416666666666666,0.5
144,sigmoid,16,0.005,gd,1000,42,0.9044230838227785,0.5138888888888888,0.49166666666666664
